0,1_x,2_x,3_x,4_x,5_x,6,7,1_y,2_y,1,2,3_y,4_y,5_y
NAME,S1701_C03_001E,S2701_C03_001E,S1901_C01_012E,S1501_C01_005E,S1501_C01_012E,S1501_C01_001E,S1501_C01_006E,DP03_0009PE,DP03_0021PE,B19057_002E,B19057_001E,B25077_001E,B25064_001E,ucgid
Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Estimate!!Percent Insured!!Civilian noninstitutionalized population,Estimate!!Households!!Median income (dollars),Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Estimate!!Total:!!With public assistance income,Estimate!!Total:,Estimate!!Median value (dollars),Estimate!!Median gross rent,Geography
"Harnett County, North Carolina",14.1,90.0,70664,1762,16341,12956,92806,5.2,0.0,785,49285,285300,1095,0500000US37085
"Henderson County, North Carolina",10.4,87.9,61974,259,21454,7631,89872,2.5,0.0,1256,52492,372000,1186,0500000US37089
"Iredell County, North Carolina",9.1,90.7,85298,2051,33325,15339,140226,3.1,0.0,1196,77592,356100,1238,0500000US37097
"Johnston County, North Carolina",10.9,89.6,79592,1916,36166,20205,162375,4.1,0.0,1029,87955,324500,1307,0500000US37101
"Lee County, North Carolina",17.3,88.6,60140,495,7146,5063,46432,3.7,0.0,701,25961,241200,864,0500000US37105
"Lincoln County, North Carolina",12.5,91.8,77776,1115,14683,6707,69443,2.0,0.0,704,37618,350700,1082,0500000US37109
"Mecklenburg County, North Carolina",10.0,88.6,84593,25126,256991,107589,793990,3.4,1.7,5501,474611,441900,1660,0500000US37119
"Moore County, North Carolina",10.7,93.7,78057,996,20452,6165,77870,3.5,0.4,472,46385,369100,1342,0500000US37125
"Nash County, North Carolina",12.6,88.3,66121,420,10439,7141,68053,3.3,0.1,398,39349,210800,937,0500000US37127
"New Hanover County, North Carolina",12.0,91.0,79547,7145,50878,30192,166553,3.8,0.3,1481,106358,394100,1466,0500000US37129
"Onslow County, North Carolina",11.5,92.7,67597,1853,18530,42863,118073,4.6,0.0,1394,76788,253100,1261,0500000US37133
"Orange County, North Carolina",11.6,92.5,86381,5409,25876,29607,94015,2.8,4.4,353,59771,470300,1425,0500000US37135
"Pender County, North Carolina",11.2,91.2,71487,395,10608,4888,48229,5.4,0.1,534,27256,315700,1070,0500000US37141
"Pitt County, North Carolina",20.2,91.0,59946,3559,20713,29433,108419,7.8,0.7,558,74443,224100,1042,0500000US37147
"Randolph County, North Carolina",17.3,90.6,56310,174,14672,12179,102719,5.1,0.0,2795,59646,215200,964,0500000US37151
