county,poverty_rate,health_insurance,median_household_income,unemployment_rate,public_transit,median_house_value,median_gross_rent,bachelor_holders,public_assistance
"Blair County, Pennsylvania",14.7,94.0,54002,3.4,1.3,157000,837,13.94,3.0
"Bucks County, Pennsylvania",6.7,96.9,107221,3.5,2.4,450900,1612,25.52,2.46
"Butler County, Pennsylvania",9.5,96.8,80379,4.1,0.2,296300,1060,22.38,2.61
"Cambria County, Pennsylvania",12.5,97.0,55748,3.8,0.7,121800,725,13.97,4.01
"Carbon County, Pennsylvania",12.5,94.5,64229,6.1,0.6,207900,1074,10.13,2.56
"Centre County, Pennsylvania",18.7,95.1,69101,3.6,3.1,322900,1198,18.96,1.11
"Chester County, Pennsylvania",6.1,96.1,120903,3.0,1.7,489500,1719,31.68,2.14
"Clearfield County, Pennsylvania",16.0,92.5,60711,3.5,0.1,145100,790,13.15,4.82
"Columbia County, Pennsylvania",10.9,96.1,63683,5.7,0.1,224000,870,14.99,1.35
"Crawford County, Pennsylvania",12.2,91.8,60797,2.9,0.0,150500,764,13.23,4.0
"Cumberland County, Pennsylvania",7.9,93.5,82174,2.7,0.3,285200,1148,23.77,2.05
"Dauphin County, Pennsylvania",13.3,93.2,74170,4.4,0.9,239800,1244,22.0,5.43
"Delaware County, Pennsylvania",10.9,95.3,84085,5.9,6.4,333800,1307,22.16,2.53
"Erie County, Pennsylvania",14.6,96.6,60663,3.8,1.2,179200,894,17.07,3.97
"Fayette County, Pennsylvania",19.8,96.6,54523,3.6,0.6,144300,745,11.98,4.95
"Franklin County, Pennsylvania",7.2,90.9,75875,4.8,0.0,248900,1095,13.41,2.72
"Indiana County, Pennsylvania",16.3,91.1,57505,5.3,0.2,152600,788,14.33,3.14
"Lackawanna County, Pennsylvania",17.0,95.3,56002,3.2,0.3,200900,1069,17.29,3.87
"Lancaster County, Pennsylvania",8.4,89.1,80067,3.2,0.9,306900,1329,18.97,2.85
"Lawrence County, Pennsylvania",13.0,96.4,62754,4.3,1.6,150800,763,15.88,4.09
"Lebanon County, Pennsylvania",7.5,90.8,78824,2.2,0.2,235400,1186,15.51,4.35
"Lehigh County, Pennsylvania",12.6,93.7,76508,4.9,0.8,318700,1346,20.36,5.18
"Luzerne County, Pennsylvania",17.2,93.5,60380,4.5,0.6,179900,1058,14.22,3.42
"Lycoming County, Pennsylvania",12.4,95.1,62135,4.7,0.8,205900,869,17.07,3.27
"Mercer County, Pennsylvania",11.5,93.4,61669,4.6,0.1,166800,874,15.68,3.22
"Monroe County, Pennsylvania",8.9,94.0,71087,6.7,3.9,275300,1325,17.22,3.82
"Montgomery County, Pennsylvania",7.0,95.8,106748,3.4,3.7,445000,1674,28.81,1.87
"Northampton County, Pennsylvania",9.6,95.4,84229,4.4,1.2,312800,1390,19.73,2.43
"Northumberland County, Pennsylvania",11.2,96.2,59046,3.1,0.1,164300,746,12.43,3.82
"Philadelphia County, Pennsylvania",20.3,92.9,60302,6.2,16.7,246600,1390,19.59,4.84
"Schuylkill County, Pennsylvania",14.8,94.2,64276,5.6,0.2,149600,801,12.45,5.89
"Somerset County, Pennsylvania",10.9,95.6,60515,5.2,0.2,144700,794,9.7,3.17
"Washington County, Pennsylvania",8.9,96.3,77450,3.1,0.7,233200,956,18.7,2.65
"Westmoreland County, Pennsylvania",10.9,97.4,71081,3.6,0.8,203600,862,19.29,2.66
"York County, Pennsylvania",8.4,95.5,81362,3.9,0.9,257600,1149,17.66,2.89
"Kent County, Rhode Island",8.7,96.7,91821,3.3,1.4,366800,1342,23.93,2.05
"Newport County, Rhode Island",12.3,94.4,104880,4.3,0.4,633700,1657,28.04,0.99
"Providence County, Rhode Island",11.9,94.9,77170,5.9,2.4,377700,1369,19.44,3.62
"Washington County, Rhode Island",9.2,97.6,102108,2.6,1.1,541500,1194,28.85,1.57
"Aiken County, South Carolina",13.8,91.5,67480,4.5,0.6,223400,1022,20.84,0.68
"Anderson County, South Carolina",13.5,91.3,64645,3.0,0.0,250500,1053,16.35,1.29
"Beaufort County, South Carolina",9.0,92.3,81111,2.3,0.1,466600,1759,27.21,0.46
"Berkeley County, South Carolina",9.1,91.5,83372,4.1,0.1,330400,1654,20.63,1.54
"Charleston County, South Carolina",10.3,92.1,89083,2.9,0.8,510900,1665,30.36,0.58
"Dorchester County, South Carolina",10.4,88.6,78137,3.4,0.2,327100,1505,18.89,0.67
"Florence County, South Carolina",19.2,90.5,54014,6.1,0.5,173200,1012,12.94,1.2
"Georgetown County, South Carolina",11.9,89.7,71313,3.2,0.0,322200,1517,18.83,0.0
"Greenville County, South Carolina",11.3,90.2,76334,3.7,0.2,326100,1295,25.38,1.03
"Greenwood County, South Carolina",16.8,92.1,56420,2.2,0.0,191300,894,15.44,0.62
"Horry County, South Carolina",13.0,90.9,68988,3.5,1.0,316800,1265,18.29,1.13
"Kershaw County, South Carolina",11.6,90.4,71375,7.2,0.2,222400,1032,13.43,1.33
"Lancaster County, South Carolina",10.8,90.9,73942,5.0,0.1,334300,1097,21.11,0.45
"Laurens County, South Carolina",15.7,89.1,56394,5.1,0.0,172700,876,9.32,1.23
"Lexington County, South Carolina",11.2,93.1,76447,4.2,0.1,243500,1166,19.94,0.92
"Oconee County, South Carolina",17.4,89.9,67124,5.9,0.0,255000,814,16.86,1.8
"Orangeburg County, South Carolina",20.2,90.6,51863,5.7,0.0,123400,838,8.02,0.95
"Pickens County, South Carolina",18.3,89.4,57110,2.3,0.0,240400,961,15.41,1.22
"Richland County, South Carolina",16.1,91.0,61079,6.1,0.5,246900,1198,21.47,0.87
"Spartanburg County, South Carolina",14.1,89.9,63899,4.3,0.2,240600,1028,15.12,1.64
"Sumter County, South Carolina",17.0,90.0,55982,7.8,0.4,190400,931,11.87,0.93
"York County, South Carolina",9.7,92.6,81356,3.2,0.5,383600,1360,24.56,1.28
"Lincoln County, South Dakota",2.0,97.5,98015,1.8,0.0,359800,1261,28.93,1.06
"Minnehaha County, South Dakota",10.3,92.8,71326,2.3,0.7,297000,949,24.8,1.54
"Pennington County, South Dakota",11.8,90.3,74893,2.0,0.4,313000,1127,21.89,1.86
"Anderson County, Tennessee",15.2,95.2,57652,3.8,0.0,243700,927,18.8,1.78
"Blount County, Tennessee",8.8,92.9,78504,2.1,0.2,348300,1159,17.45,1.08
"Bradley County, Tennessee",16.8,91.2,61107,6.2,0.0,267000,983,14.01,2.1
"Davidson County, Tennessee",11.7,89.1,80379,3.1,1.7,437700,1620,30.71,1.66
"Greene County, Tennessee",14.0,88.2,54261,3.1,0.0,217300,737,11.08,2.37
"Hamblen County, Tennessee",20.6,88.8,53210,3.1,0.0,238400,901,13.33,2.18
"Hamilton County, Tennessee",12.6,91.2,73611,4.2,0.5,333900,1298,21.55,1.17
"Knox County, Tennessee",14.0,91.0,70265,3.5,0.8,359000,1301,23.96,2.17
"Madison County, Tennessee",20.3,89.2,58702,6.0,0.7,225500,1152,13.94,0.86
"Maury County, Tennessee",11.0,92.6,72651,3.4,0.1,379200,1219,20.77,3.44
"Montgomery County, Tennessee",13.9,89.5,75361,5.4,0.3,305200,1376,18.28,2.94
"Putnam County, Tennessee",19.6,89.3,56368,3.4,0.7,290100,873,15.45,4.07
"Robertson County, Tennessee",9.5,90.5,83355,3.0,0.0,355800,1258,13.7,0.17
"Rutherford County, Tennessee",9.0,90.8,81628,2.8,0.2,406700,1548,24.29,0.75
"Sevier County, Tennessee",12.8,84.6,59665,3.4,0.0,302400,970,13.19,1.71
"Shelby County, Tennessee",17.7,88.4,62413,6.5,0.5,271000,1226,18.72,1.65
"Sullivan County, Tennessee",12.8,92.3,56481,4.8,0.3,230500,879,17.43,1.22
"Sumner County, Tennessee",9.0,94.0,86081,2.0,0.0,411900,1424,22.44,0.77
"Washington County, Tennessee",18.1,89.5,60729,3.9,0.2,260800,1026,17.68,0.63
"Williamson County, Tennessee",5.7,96.4,133990,1.8,0.1,777800,1972,35.91,0.47
"Wilson County, Tennessee",5.5,94.6,96171,1.9,0.5,475100,1517,23.15,0.36
"Angelina County, Texas",17.7,85.1,56864,3.5,0.0,167400,1068,9.36,1.89
"Bastrop County, Texas",11.3,81.4,76522,5.9,0.0,317000,1605,13.29,0.98
"Bell County, Texas",11.2,87.2,69890,5.2,0.4,262300,1331,17.32,1.76
"Bexar County, Texas",14.7,85.2,69807,4.6,1.6,277000,1332,18.86,1.92
"Bowie County, Texas",12.5,90.1,53212,4.2,0.0,160700,1026,13.87,1.76
"Brazoria County, Texas",8.5,87.6,93680,4.3,0.1,304700,1471,17.15,1.54
"Brazos County, Texas",24.6,88.4,53123,5.1,2.5,309300,1188,21.0,1.2
"Cameron County, Texas",23.5,76.5,52210,5.6,0.4,154200,904,13.07,1.78
"Collin County, Texas",6.6,90.3,119155,3.3,0.7,513100,1866,31.6,0.94
"Comal County, Texas",7.0,90.3,99193,3.3,0.0,465900,1546,27.86,0.79
"Coryell County, Texas",9.4,91.9,75559,4.9,0.2,216100,1181,14.58,1.83
"Dallas County, Texas",13.7,78.8,74350,4.2,1.3,319100,1597,21.19,1.74
"Denton County, Texas",6.0,89.6,106695,3.7,0.5,460300,1747,30.44,1.42
"Ector County, Texas",9.0,77.2,66608,1.9,0.2,196500,1169,11.35,0.94
"Ellis County, Texas",6.1,85.6,89488,3.6,0.0,366500,1693,16.52,1.0
"El Paso County, Texas",18.5,78.2,58971,4.2,1.0,191100,1127,15.38,2.01
"Fort Bend County, Texas",8.9,88.3,105441,3.7,0.6,384100,1839,27.0,1.23
"Galveston County, Texas",11.2,86.3,83514,4.8,0.5,315000,1401,21.79,2.07
"Grayson County, Texas",10.2,82.9,69019,2.8,0.5,281700,1325,16.53,1.62
"Gregg County, Texas",16.3,82.1,61569,4.3,0.1,197700,1117,13.19,1.31
"Guadalupe County, Texas",7.7,91.2,95953,3.0,0.4,325000,1598,19.13,1.59
"Harris County, Texas",16.0,79.7,72336,5.8,2.0,287100,1403,19.68,1.82
"Harrison County, Texas",18.1,90.1,65263,3.7,0.0,201900,972,15.3,2.0
"Hays County, Texas",10.5,90.0,87296,4.0,0.5,428400,1443,26.23,1.72
"Henderson County, Texas",17.8,84.2,59391,5.2,0.0,212500,999,10.9,0.86
"Hidalgo County, Texas",27.2,74.7,53661,5.6,0.2,151200,936,12.82,1.94
"Hood County, Texas",6.3,85.6,80682,3.6,0.0,350100,1514,20.89,0.21
"Hunt County, Texas",12.8,81.8,71045,6.1,0.0,259800,1214,13.45,2.57
"Jefferson County, Texas",20.3,79.1,59725,5.1,1.3,171000,1129,9.72,2.5
"Johnson County, Texas",10.2,85.1,83737,4.0,0.1,310900,1370,16.62,1.43
"Kaufman County, Texas",10.2,84.8,90793,6.1,0.0,347000,1526,19.65,2.16
"Liberty County, Texas",12.0,75.7,77535,4.0,0.0,201200,1099,6.97,1.45
"Lubbock County, Texas",17.6,87.7,57149,3.8,0.5,213900,1170,17.49,1.62
"McLennan County, Texas",17.1,87.2,63553,3.8,0.2,264100,1120,15.65,2.11
"Midland County, Texas",11.7,90.6,93269,2.2,0.6,314500,1328,20.28,3.71
"Montgomery County, Texas",10.7,83.6,91841,4.2,0.5,359800,1508,23.42,1.13
"Nacogdoches County, Texas",19.3,85.1,51718,5.5,0.0,201500,883,13.98,1.52
"Nueces County, Texas",17.1,84.5,64034,4.3,1.0,213500,1248,14.8,1.75
"Orange County, Texas",14.0,81.7,65521,5.9,0.0,180500,1067,11.46,2.84
"Parker County, Texas",8.9,86.0,98174,3.1,0.0,383100,1541,19.74,0.95
"Potter County, Texas",16.3,78.9,50743,3.8,1.2,144800,980,12.35,3.76
"Randall County, Texas",8.3,88.1,80940,2.4,1.0,236900,1059,20.89,0.67
"Rockwall County, Texas",4.3,90.0,112250,4.8,0.1,429700,2093,27.41,1.19
"San Patricio County, Texas",18.3,81.2,60494,4.7,2.7,193200,1165,9.65,1.85
"Smith County, Texas",13.2,84.0,72313,3.5,0.2,272700,1299,17.95,1.77
"Starr County, Texas",29.0,74.5,41566,7.0,0.0,89600,747,8.33,2.07
"Tarrant County, Texas",10.9,84.3,80043,3.8,0.4,336000,1569,22.18,1.79
"Taylor County, Texas",12.5,88.1,61816,3.2,0.2,200300,1269,17.16,0.91
"Tom Green County, Texas",15.0,84.3,57268,3.4,0.0,198500,1128,16.44,1.11
"Travis County, Texas",10.2,89.1,97543,4.0,1.3,569000,1770,35.36,1.09
"Victoria County, Texas",13.1,85.5,72075,4.1,0.0,202400,1164,11.32,2.15
"Walker County, Texas",22.5,86.3,55134,11.9,0.0,298600,1045,17.46,2.7
"Webb County, Texas",22.7,70.7,60204,4.5,0.5,200800,990,14.32,2.3
"Wichita County, Texas",18.2,84.5,61983,2.8,0.2,168100,976,15.29,0.74
"Williamson County, Texas",7.0,90.2,110415,3.1,0.3,464800,1830,29.16,0.88
"Wise County, Texas",9.2,88.2,91920,5.6,0.1,318300,1292,15.7,1.62
"Cache County, Utah",11.4,92.7,83695,2.2,2.2,468300,1275,23.49,1.41
"Davis County, Utah",5.9,94.6,111778,2.5,1.4,538100,1615,23.14,0.89
"Salt Lake County, Utah",9.4,91.0,94439,3.5,2.0,556300,1651,22.73,1.63
"Tooele County, Utah",8.1,94.7,94201,1.9,0.6,459000,1090,15.77,1.74
"Utah County, Utah",9.0,93.3,100895,3.6,2.4,570100,1560,25.81,1.45
"Washington County, Utah",12.3,90.4,77480,4.2,0.3,528100,1624,18.6,1.84
"Weber County, Utah",8.2,90.9,87565,2.6,1.0,437200,1445,18.65,0.95
"Chittenden County, Vermont",7.5,96.9,99578,2.3,2.3,436100,1659,28.14,3.23
"Albemarle County, Virginia",8.0,95.0,103413,2.5,0.8,492800,1607,27.43,2.03
"Arlington County, Virginia",6.9,96.4,140219,3.6,16.9,850900,2223,39.47,1.19
"Augusta County, Virginia",7.4,91.2,71346,2.7,0.5,293600,1114,15.18,1.45
"Bedford County, Virginia",11.1,93.1,73456,4.1,0.0,295100,942,18.77,3.95
"Chesterfield County, Virginia",6.6,94.4,99658,4.8,0.5,367000,1594,27.21,1.71
"Fairfax County, Virginia",6.0,93.8,141553,3.2,4.9,727200,2156,30.53,1.17
"Fauquier County, Virginia",5.1,94.0,110358,2.4,1.1,562100,1473,26.85,0.4
"Frederick County, Virginia",7.6,94.7,92640,3.7,0.0,387800,1368,19.71,0.9
"Hanover County, Virginia",4.7,96.2,112243,1.5,0.0,405000,1593,24.89,2.74
"Henrico County, Virginia",9.4,92.4,85817,3.4,0.8,362400,1593,25.25,1.63
"James City County, Virginia",7.9,96.8,110137,2.8,0.4,449300,1646,29.1,0.92
"Loudoun County, Virginia",4.5,95.3,174148,3.6,2.2,734700,2321,35.7,1.04
"Montgomery County, Virginia",26.0,96.0,68079,4.2,2.6,303500,1241,16.82,1.37
"Prince William County, Virginia",6.7,91.2,131047,4.3,2.6,532600,2042,25.98,1.81
"Roanoke County, Virginia",6.8,96.3,80809,3.9,0.0,296800,1161,21.3,1.02
"Rockingham County, Virginia",11.6,90.4,80935,2.3,0.2,312700,1047,13.79,1.32
"Spotsylvania County, Virginia",5.7,94.9,112595,2.3,2.0,421800,1770,20.41,1.17
"Stafford County, Virginia",4.1,93.6,134619,2.8,2.2,492500,2026,23.4,1.34
"York County, Virginia",8.5,98.1,101351,4.6,0.9,414600,1845,23.31,1.21
"Alexandria city, Virginia",7.1,91.5,110294,3.6,14.3,737900,1954,30.36,0.89
"Chesapeake city, Virginia",11.2,94.9,92633,3.1,0.3,380100,1628,21.79,1.71
"Hampton city, Virginia",12.5,93.4,70238,5.7,1.0,258400,1455,18.72,2.57
"Lynchburg city, Virginia",20.3,94.2,61693,2.7,2.1,247100,1062,22.48,3.3
"Newport News city, Virginia",14.5,89.0,64962,5.6,0.8,261800,1326,17.5,1.43
"Norfolk city, Virginia",17.4,90.6,62382,5.5,2.7,298600,1314,17.66,1.61
"Portsmouth city, Virginia",18.9,93.8,57109,5.6,0.4,268300,1225,16.18,2.79
"Richmond city, Virginia",17.1,91.5,65650,3.8,2.6,365100,1441,26.44,1.55
"Roanoke city, Virginia",18.9,89.5,51038,3.0,3.0,215000,1110,17.63,1.34
"Suffolk city, Virginia",11.5,92.3,81154,4.7,0.0,352000,1460,19.07,2.29
"Virginia Beach city, Virginia",8.5,94.4,91141,4.1,0.6,384200,1704,23.92,1.73
"Benton County, Washington",11.9,92.6,82304,5.0,1.2,427200,1327,18.59,2.77
"Chelan County, Washington",8.8,88.1,76722,5.5,3.0,526200,1139,17.23,2.2
"Clallam County, Washington",11.6,95.0,65990,5.1,1.1,431000,1094,17.24,3.38
"Clark County, Washington",6.9,92.5,97678,4.2,1.0,542200,1731,20.82,4.79
"Cowlitz County, Washington",13.4,93.0,70959,5.3,0.6,405400,1176,12.46,3.45
"Franklin County, Washington",13.5,88.1,84366,6.1,0.5,392100,1183,13.0,3.7
"Grant County, Washington",16.7,85.0,75586,6.9,1.5,309500,1057,11.74,2.39
"Grays Harbor County, Washington",14.3,89.7,67221,6.3,2.1,323200,1041,10.78,4.6
"Island County, Washington",8.8,96.3,90308,3.7,2.1,595100,1632,20.03,3.3
"King County, Washington",8.8,95.1,120824,4.3,8.0,848300,2043,32.74,2.87
"Kitsap County, Washington",8.4,95.0,99609,5.3,6.8,564600,1808,21.18,1.69
"Lewis County, Washington",14.2,92.9,67169,6.7,0.5,395200,1080,12.72,5.3
"Mason County, Washington",11.3,90.9,74508,9.1,2.3,432400,1368,16.07,3.15
"Pierce County, Washington",9.8,94.2,98174,4.7,2.1,538000,1802,19.04,4.03
"Skagit County, Washington",8.9,93.0,91234,4.4,0.8,558300,1667,16.92,2.26
"Snohomish County, Washington",9.0,94.0,106269,3.6,2.5,697700,1911,24.27,2.82
"Spokane County, Washington",12.5,95.0,73583,4.1,2.2,421400,1297,18.22,5.47
"Thurston County, Washington",10.4,96.0,93170,4.1,1.1,493100,1776,22.79,3.21
"Whatcom County, Washington",13.4,95.5,74884,4.2,2.7,611200,1497,24.7,2.43
"Yakima County, Washington",15.8,87.2,69525,4.7,0.5,318900,1119,10.48,3.69
"Berkeley County, West Virginia",12.6,93.9,79625,5.4,0.0,271600,1269,13.9,2.7
"Cabell County, West Virginia",21.1,94.0,56415,4.6,0.5,175100,859,20.81,2.74
"Harrison County, West Virginia",13.8,91.4,58646,2.8,0.1,174900,824,17.01,3.0
"Kanawha County, West Virginia",15.9,95.3,56469,5.5,1.0,138000,839,17.35,4.01
"Monongalia County, West Virginia",19.9,94.8,61009,4.6,1.2,261500,913,21.21,1.24
"Raleigh County, West Virginia",18.4,95.8,55189,2.4,0.2,158800,893,13.35,4.73
"Wood County, West Virginia",12.9,91.1,54750,5.3,0.7,163700,736,14.49,4.15
"Brown County, Wisconsin",10.3,95.2,77146,2.1,0.4,273900,1033,21.73,1.55
"Chippewa County, Wisconsin",8.4,96.5,77617,2.8,0.1,260900,873,16.36,0.99
"Dane County, Wisconsin",10.2,96.3,82838,2.3,3.0,393500,1378,30.68,1.64
"Dodge County, Wisconsin",8.1,95.6,72736,3.1,0.0,242200,968,14.13,0.98
"Eau Claire County, Wisconsin",10.5,94.7,72563,2.9,0.2,269000,1041,21.74,1.46
"Fond du Lac County, Wisconsin",9.6,96.8,71285,2.5,0.1,232900,964,15.06,1.51
"Jefferson County, Wisconsin",10.5,96.1,82864,3.6,0.1,283700,953,18.87,1.02
"Kenosha County, Wisconsin",11.9,95.1,74886,3.1,0.8,265500,1212,21.06,3.04
"La Crosse County, Wisconsin",13.1,96.7,70010,3.6,0.8,272200,1009,22.08,4.58
"Manitowoc County, Wisconsin",9.0,96.1,68297,1.8,0.2,199800,752,14.17,2.69
"Marathon County, Wisconsin",10.2,94.3,74141,2.1,0.0,215700,977,17.61,1.52
"Milwaukee County, Wisconsin",17.0,93.2,63185,3.9,3.7,232500,1084,21.75,1.95
"Outagamie County, Wisconsin",5.7,96.0,85784,1.8,0.5,276500,1101,21.52,0.65
"Ozaukee County, Wisconsin",4.5,97.5,96961,3.3,0.1,403300,988,30.82,1.46
"Portage County, Wisconsin",9.3,94.9,69391,2.7,0.7,258900,948,21.51,3.16
"Racine County, Wisconsin",9.8,94.5,73978,3.6,0.9,253200,1038,16.83,2.6
"Rock County, Wisconsin",11.4,95.6,73440,5.1,0.6,247500,973,17.69,2.4
"St. Croix County, Wisconsin",6.5,95.5,102475,1.3,0.1,375000,1478,25.16,2.51
"Sauk County, Wisconsin",9.1,95.7,80070,2.1,0.0,271300,1076,18.22,1.36
"Sheboygan County, Wisconsin",9.0,95.0,72902,1.4,0.1,239700,895,19.6,1.46
"Walworth County, Wisconsin",11.2,94.5,75229,4.0,0.0,315100,1116,20.23,1.1
"Washington County, Wisconsin",6.1,98.3,93287,1.1,0.0,356800,1174,23.55,0.9
"Waukesha County, Wisconsin",5.8,98.0,98630,2.0,0.3,390500,1330,30.63,0.79
"Winnebago County, Wisconsin",10.8,95.5,69957,2.3,0.5,222400,929,22.43,2.0
"Wood County, Wisconsin",9.3,96.2,66461,3.7,0.1,174500,766,15.58,4.58
"Laramie County, Wyoming",11.0,91.0,75112,5.4,0.7,357300,1143,20.33,0.81
"Natrona County, Wyoming",9.7,85.2,73203,3.2,0.4,267300,1063,17.13,1.95
"Arecibo Municipio, Puerto Rico",34.9,96.0,25496,12.1,0.0,114600,536,24.1,2.73
"Bayamón Municipio, Puerto Rico",32.7,95.1,30660,6.4,1.8,144900,662,25.5,1.87
"Caguas Municipio, Puerto Rico",35.4,93.6,30589,8.5,0.5,152900,590,22.58,4.38
"Carolina Municipio, Puerto Rico",24.8,94.3,35391,8.1,0.8,155700,609,24.69,1.87
"Guaynabo Municipio, Puerto Rico",21.3,95.0,48084,4.6,2.1,235900,1079,25.34,1.85
"Mayagüez Municipio, Puerto Rico",53.9,96.1,16836,19.8,2.5,107000,447,15.54,4.07
"Ponce Municipio, Puerto Rico",50.4,96.4,18889,17.2,0.3,100600,526,20.16,2.45
"San Juan Municipio, Puerto Rico",38.5,90.4,27403,9.1,4.7,175300,607,24.36,2.06
"Toa Alta Municipio, Puerto Rico",36.1,91.7,31635,5.0,0.0,176800,566,22.46,1.02
"Toa Baja Municipio, Puerto Rico",29.8,93.9,31814,5.2,0.4,148100,772,20.36,2.41
"Trujillo Alto Municipio, Puerto Rico",22.5,97.3,49261,7.1,0.0,167800,749,27.95,1.36
