county,poverty_rate,health_insurance,median_household_income,unemployment_rate,public_transit,median_house_value,median_gross_rent,bachelor_holders,public_assistance
"Capitol Planning Region, Connecticut",9.8,95.2,91005,4.5,3.0,326700,1389,21.89,2.96
"Greater Bridgeport Planning Region, Connecticut",10.9,89.9,95085,6.7,5.8,441400,1488,23.76,3.08
"Lower Connecticut River Valley Planning Region, Connecticut",7.2,96.1,99275,2.9,1.4,385300,1449,24.94,1.05
"Naugatuck Valley Planning Region, Connecticut",11.6,95.7,81326,5.3,1.0,327000,1298,17.75,3.2
"Northeastern Connecticut Planning Region, Connecticut",6.4,98.1,88806,2.2,0.3,305600,1217,17.29,1.47
"Northwest Hills Planning Region, Connecticut",8.4,96.0,91020,4.7,1.2,331100,1141,21.91,2.22
"South Central Connecticut Planning Region, Connecticut",12.6,94.9,80733,4.2,3.3,349200,1471,21.69,2.65
"Southeastern Connecticut Planning Region, Connecticut",13.5,96.4,82652,4.8,1.0,323700,1348,19.17,2.8
"Western Connecticut Planning Region, Connecticut",8.2,91.0,121429,4.2,9.0,657900,2076,29.95,2.62
"Kent County, Delaware",11.1,93.5,72910,3.4,1.6,325200,1320,15.85,3.77
"New Castle County, Delaware",10.7,93.9,86961,3.1,3.3,357400,1393,21.87,2.56
"Sussex County, Delaware",9.8,92.8,78061,4.4,0.3,397100,1236,18.5,2.07
"District of Columbia, District of Columbia",14.0,97.3,108210,5.3,22.9,715500,1904,27.52,3.03
"Alachua County, Florida",19.0,92.9,61488,3.8,2.4,307000,1370,20.49,1.91
"Bay County, Florida",11.0,86.4,71696,2.9,0.7,327700,1534,18.74,1.61
"Brevard County, Florida",10.1,90.5,78575,5.1,0.3,356600,1648,19.74,1.66
"Broward County, Florida",12.7,89.1,74531,4.2,2.1,439100,1961,21.43,1.68
"Charlotte County, Florida",8.7,93.0,71806,3.6,0.2,365900,1520,15.75,1.12
"Citrus County, Florida",17.2,88.4,53777,6.2,0.5,278800,1138,13.86,1.36
"Clay County, Florida",7.4,91.7,81758,3.6,0.1,338000,1619,18.77,1.25
"Collier County, Florida",10.9,86.8,90072,2.0,1.0,595500,2039,22.45,1.07
"Columbia County, Florida",16.8,83.2,60812,7.8,0.0,230300,998,10.33,1.87
"Duval County, Florida",14.6,89.5,69436,4.3,0.7,321400,1516,21.82,2.55
"Escambia County, Florida",12.7,87.1,72037,4.6,0.4,287000,1394,19.05,1.3
"Flagler County, Florida",9.1,91.0,71682,4.1,1.1,400400,1749,20.31,0.78
"Hernando County, Florida",11.8,90.3,64508,5.9,0.4,305100,1392,13.42,1.42
"Highlands County, Florida",19.9,89.2,51165,6.3,0.1,208900,1073,12.33,2.23
"Hillsborough County, Florida",13.3,89.4,76687,3.8,1.1,396200,1757,21.93,1.42
"Indian River County, Florida",12.0,89.6,72920,2.1,0.9,370600,1409,18.5,0.89
"Lake County, Florida",10.8,90.7,70730,4.0,0.3,321700,1644,20.08,0.96
"Lee County, Florida",12.5,88.3,71547,3.7,0.6,391700,1797,18.19,1.36
"Leon County, Florida",18.1,94.0,65981,6.2,2.3,311800,1284,24.32,1.03
"Manatee County, Florida",10.5,89.9,79524,3.8,1.0,424000,1771,22.63,1.08
"Marion County, Florida",15.2,89.1,58606,5.1,0.2,265100,1365,13.88,1.59
"Martin County, Florida",15.0,87.7,74601,4.9,0.4,438800,1585,25.04,1.3
"Miami-Dade County, Florida",14.0,87.8,72311,3.8,3.9,488600,1864,20.55,3.4
"Monroe County, Florida",8.5,86.6,88870,1.7,0.2,806100,2091,20.29,0.84
"Nassau County, Florida",11.2,93.3,90671,3.7,0.0,411500,1546,21.29,2.02
"Okaloosa County, Florida",10.4,89.4,83024,3.2,0.3,363800,1710,20.01,1.09
"Orange County, Florida",12.4,88.9,79053,4.1,1.4,405700,1815,24.15,1.53
"Osceola County, Florida",10.6,90.9,77466,4.9,0.8,373300,1802,20.99,3.34
"Palm Beach County, Florida",10.7,88.1,84921,4.3,1.6,491500,1982,24.36,2.13
"Pasco County, Florida",10.4,90.9,72317,4.1,0.2,337700,1540,18.25,2.95
"Pinellas County, Florida",11.2,89.2,70768,4.1,1.6,382400,1776,23.08,1.65
"Polk County, Florida",12.8,88.0,66909,3.7,0.5,296300,1403,16.16,1.94
"Putnam County, Florida",21.4,89.6,52256,4.4,0.4,160200,964,11.71,3.29
"St. Johns County, Florida",6.0,95.9,105153,2.8,0.1,534600,2037,32.18,0.98
"St. Lucie County, Florida",9.5,88.5,66530,5.0,0.3,371400,1729,14.49,1.84
"Santa Rosa County, Florida",6.7,90.9,87862,4.5,0.1,342100,1269,19.68,1.06
"Sarasota County, Florida",9.6,89.7,77705,4.0,0.4,450300,1940,24.13,1.31
"Seminole County, Florida",9.0,92.0,80547,4.2,0.5,404100,1803,27.23,1.58
"Sumter County, Florida",10.8,96.2,74715,7.5,1.1,411000,1347,22.64,0.2
"Volusia County, Florida",11.8,91.1,66273,3.9,0.4,341900,1480,17.21,2.14
"Walton County, Florida",11.5,89.8,78801,4.1,0.4,438000,1720,22.64,1.49
"Barrow County, Georgia",13.7,88.9,65914,2.2,0.0,300800,1285,10.9,2.14
"Bartow County, Georgia",7.5,83.3,80511,2.9,0.0,309400,1383,17.83,1.48
"Bibb County, Georgia",22.0,88.9,51254,7.2,0.3,199800,1038,13.93,1.39
"Bulloch County, Georgia",25.6,89.9,54007,7.0,1.3,240200,927,16.14,1.06
"Carroll County, Georgia",14.2,89.9,71891,3.6,0.5,280800,1174,13.38,0.85
"Catoosa County, Georgia",9.4,89.4,70653,4.1,0.0,232000,971,12.63,1.02
"Chatham County, Georgia",14.7,89.0,70904,4.0,0.6,320800,1485,22.92,1.79
"Cherokee County, Georgia",6.4,89.9,103691,3.1,0.1,450800,1857,26.86,1.05
"Clarke County, Georgia",24.7,88.8,54352,4.4,1.8,318700,1281,21.48,1.18
"Clayton County, Georgia",16.7,84.2,58359,6.4,2.1,245900,1440,15.92,4.07
"Cobb County, Georgia",8.4,89.5,99382,3.4,0.7,432000,1740,30.09,0.76
"Columbia County, Georgia",6.8,93.4,96540,4.3,0.1,327700,1339,18.97,0.8
"Coweta County, Georgia",11.1,91.2,92150,2.2,0.1,383000,1546,23.66,1.3
"DeKalb County, Georgia",12.8,88.1,77861,5.3,3.6,368200,1707,25.24,2.46
"Dougherty County, Georgia",26.1,88.2,45769,11.3,0.7,144500,856,7.67,1.31
"Douglas County, Georgia",11.6,89.6,81339,5.3,2.0,328400,1594,18.45,2.01
"Effingham County, Georgia",7.3,90.5,81733,4.9,0.3,282800,1170,16.84,1.35
"Fayette County, Georgia",4.5,94.1,106849,3.6,0.1,462900,1712,28.78,1.34
"Floyd County, Georgia",17.4,90.5,62098,3.4,0.0,221100,993,15.31,3.01
"Forsyth County, Georgia",5.2,90.5,134821,2.1,0.0,587300,2166,31.74,0.87
"Fulton County, Georgia",12.6,91.9,95371,4.4,3.8,477500,1775,32.88,1.28
"Glynn County, Georgia",16.0,87.9,71914,3.5,0.2,337200,1267,20.32,1.6
"Gwinnett County, Georgia",11.7,83.8,83917,4.1,0.4,395500,1847,21.91,1.45
"Hall County, Georgia",10.9,86.2,77891,2.6,0.6,357600,1360,17.09,1.94
"Henry County, Georgia",11.3,91.8,80374,5.3,0.6,334600,1838,20.86,1.03
"Houston County, Georgia",14.0,88.6,75825,7.8,0.1,221200,1179,18.38,0.87
"Jackson County, Georgia",6.3,87.8,84749,2.0,0.7,363200,1111,15.9,2.35
"Liberty County, Georgia",15.7,90.2,58308,10.9,0.2,226200,1236,12.55,1.99
