poverty_rate,health_insurance,unemployment_rate,bachelor_holders,public_assistance,log_median_income,log_public_transit,sqrt_median_house_value
14.2,89.9,3.6,13.38,0.85,11.182906362021665,0.4054651081081644,529.9056519796708
9.4,89.4,4.1,12.63,1.02,11.165535850056163,0.0,481.6637831516918
14.7,89.0,4.0,22.92,1.79,11.169082128418234,0.4700036292457356,566.3920903402518
6.4,89.9,3.1,26.86,1.05,11.549170601637366,0.09531017980432487,671.4164132637808
24.7,88.8,4.4,21.48,1.18,10.903236690400366,1.0296194171811581,564.5352070508977
16.7,84.2,6.4,15.92,4.07,10.974368867465927,1.1314021114911006,495.8830507286975
8.4,89.5,3.4,30.09,0.76,11.506726289727407,0.5306282510621704,657.2670690061993
6.8,93.4,4.3,18.97,0.8,11.477712709214483,0.09531017980432487,572.4508712544684
11.1,91.2,2.2,23.66,1.3,11.43117296309797,0.09531017980432487,618.869937870632
12.8,88.1,5.3,25.24,2.46,11.262680464647342,1.5260563034950492,606.7948582511226
26.1,88.2,11.3,7.67,1.31,10.731362285036713,0.5306282510621704,380.13155617496426
11.6,89.6,5.3,18.45,2.01,11.306380885311386,1.0986122886681098,573.0619512757761
7.3,90.5,4.9,16.84,1.35,11.31121311606434,0.262364264467491,531.7894320123332
4.5,94.1,3.6,28.78,1.34,11.579171901789133,0.09531017980432487,680.367547726962
17.4,90.5,3.4,15.31,3.01,11.03646906128378,0.0,470.2127178203499
5.2,90.5,2.1,31.74,0.87,11.81170325167706,0.0,766.355009117837
12.6,91.9,4.4,32.88,1.28,11.4655298279956,1.5686159179138452,691.0137480542627
16.0,87.9,3.5,20.32,1.6,11.183226239636436,0.18232155679395465,580.689245638319
11.7,83.8,4.1,21.91,1.45,11.337583494099448,0.33647223662121295,628.8879073412049
10.9,86.2,2.6,17.09,1.94,11.263065692450144,0.4700036292457356,597.9966555090422
11.3,91.8,5.3,20.86,1.03,11.294446019782896,0.4700036292457356,578.4461945591828
14.0,88.6,7.8,18.38,0.87,11.236183332556783,0.09531017980432487,470.3190406521939
6.3,87.8,2.0,15.9,2.35,11.347449225763054,0.5306282510621704,602.6607669327745
15.7,90.2,10.9,12.55,1.99,10.973494584193903,0.18232155679395465,475.60487802376457
20.5,88.4,4.8,16.66,3.22,10.9061211046323,0.09531017980432487,470.95647357266466
21.5,89.8,6.5,16.69,3.34,10.855820875757212,0.7884573603642702,445.1965857910413
10.1,91.2,5.7,14.62,2.6,11.285271758178133,0.09531017980432487,543.8749856354859
7.2,93.4,3.5,17.83,1.06,11.452389589215745,0.0,594.9789912257406
21.8,86.9,7.6,14.37,1.15,10.85871049441207,0.7419373447293773,443.9594576084623
11.8,88.9,6.0,20.84,1.8,11.318600150484542,0.18232155679395465,572.8874234961002
13.9,85.2,3.1,11.33,3.29,10.936120282270263,0.0,490.3060268852505
19.1,89.1,6.6,14.41,1.82,11.077949153487676,0.0,490.9175083453431
15.2,85.8,3.1,10.74,2.6,10.978387581244487,0.0,468.8283267892417
9.1,89.2,5.9,15.11,2.22,11.25604414167116,1.0647107369924282,597.6621118993573
17.5,82.7,2.7,11.75,1.33,11.04809244505471,0.09531017980432487,493.3558553417604
17.5,96.5,4.2,18.48,2.93,11.219627653732811,0.5877866649021191,727.1863585079137
9.0,97.0,3.5,23.3,3.28,11.543755303762667,1.840549633397487,948.314293892062
7.6,97.4,3.0,18.6,3.01,11.547945058071269,1.0647107369924282,942.6027795418386
8.8,95.7,3.0,19.17,3.98,11.334886723814417,0.8754687373538999,966.6954018717581
8.1,93.4,3.1,26.94,2.12,11.413392381245018,0.4054651081081644,724.9827584156743
10.8,94.3,2.4,20.06,2.45,11.13451602888549,1.0296194171811581,584.6366392897387
11.6,92.9,1.9,21.81,3.96,11.20706584406608,1.33500106673234,612.2091146005587
10.3,86.7,3.8,16.45,2.73,11.18451861549464,0.0,615.3048025166064
10.0,91.0,4.0,19.75,2.39,11.204441866489002,0.09531017980432487,745.9892760623305
9.3,92.5,2.6,13.01,3.3,11.107105293834648,0.0,573.5852159879995
16.3,95.4,3.4,21.3,2.28,10.99497451626165,1.62924053973028,464.86557196677836
13.3,92.2,5.6,24.58,2.66,11.296993348641031,2.667228206581955,560.0892785976179
12.8,94.1,4.8,18.76,3.91,11.122797144772276,0.9555114450274363,493.9635614091388
6.5,94.8,4.0,29.51,1.74,11.580219561021574,1.7227665977411035,618.9507250177513
8.2,92.5,3.8,23.88,1.05,11.48897083000737,1.1631508098056809,569.2099788303083
9.9,96.0,3.4,11.54,2.65,11.109278702668847,0.7884573603642702,427.6680956068619
5.7,94.3,3.8,23.19,1.36,11.620424691953675,0.832909122935104,571.5767664977295
8.1,94.1,4.5,25.97,1.53,11.593251209508129,1.3862943611198906,583.4380858325928
11.1,96.8,5.2,13.79,1.72,11.19460547490796,0.0,392.8103868280471
6.2,95.9,2.9,22.86,0.92,11.521726620923298,0.9162907318741551,555.2476924760697
11.4,96.0,2.6,28.04,1.71,11.254154736012868,0.7419373447293773,459.34736311423404
15.5,97.3,6.0,13.89,3.37,10.97330591303859,0.33647223662121295,339.5585369269929
10.7,96.1,3.5,21.53,2.19,11.198776206303277,0.262364264467491,416.293165929973
17.6,95.1,6.6,20.54,5.35,11.026597312804626,0.5877866649021191,391.1521443121589
15.6,96.4,3.1,14.83,3.33,11.052270005116814,1.0986122886681098,379.6050579220461
12.7,94.8,4.6,16.13,2.84,11.090507465209402,0.8754687373538999,430.5810028322197
12.0,95.8,4.5,22.81,1.72,11.191286666906919,0.5306282510621704,426.2628297189423
8.7,94.4,3.6,19.3,1.71,11.185198873463579,0.33647223662121295,402.49223594996215
20.9,95.3,7.9,8.66,5.16,10.747358117880204,0.0,310.0
7.1,95.8,3.7,21.4,1.25,11.547152963519455,1.1939224684724346,567.626637852735
19.1,95.6,4.1,14.06,3.37,11.004347313744717,0.0,394.84174044799266
14.9,94.7,5.6,13.28,4.09,11.09000387521257,0.33647223662121295,401.7461885320133
13.2,91.4,4.3,19.92,1.58,11.092915085420028,0.5877866649021191,475.3945729601885
10.8,95.3,3.5,19.8,0.49,11.312423644136842,0.6418538861723948,503.8849074937649
2.7,96.0,0.8,26.08,0.89,11.548215385748676,0.0,607.7005841695399
8.8,94.6,3.7,16.29,1.51,11.180399431835866,0.09531017980432487,482.078831727758
19.7,92.4,3.8,14.51,3.38,10.918826922010416,0.9162907318741551,373.76463182061514
12.8,86.0,2.7,12.27,0.88,11.115249939136893,0.262364264467491,462.6013402488151
10.0,96.3,2.9,17.77,0.08,11.290069372335813,0.18232155679395465,508.6255990411808
22.1,94.1,4.3,12.91,3.59,10.86310593714546,0.0,348.99856733230297
5.2,96.4,2.4,38.41,0.89,11.685003064473658,0.09531017980432487,647.9197481170025
5.8,93.0,1.8,22.61,1.94,11.450049560918558,0.0,537.4941860150675
5.5,93.7,2.7,22.23,0.73,11.445074798062054,0.18232155679395465,553.2630477449221
12.2,95.0,5.0,13.94,2.87,11.022996640917222,0.4700036292457356,411.4608122288197
6.2,97.7,2.7,21.94,0.71,11.432051578630055,0.4700036292457356,535.6304696336832
9.5,89.7,2.4,15.68,0.17,11.15824852369417,0.0,477.28398255126893
13.8,94.4,4.8,16.74,1.73,11.144264691384112,0.832909122935104,486.6210024238576
15.0,92.0,3.5,14.73,2.16,11.04879256919622,0.4054651081081644,443.0575583375144
12.1,91.9,4.5,13.18,2.24,11.035083193686253,0.33647223662121295,403.9801975344831
15.3,91.9,4.3,22.6,2.0,11.106189549728619,0.7884573603642702,488.5693400122443
18.3,96.1,4.7,22.77,1.29,10.98478411899455,1.0986122886681098,548.9990892524322
10.3,96.5,3.9,14.84,1.02,11.180566756180555,0.0,512.54268114958
9.7,96.1,3.8,18.62,1.02,11.25687125019876,0.5877866649021191,529.6225070746144
13.9,91.5,4.9,19.05,1.08,11.093630159049829,0.832909122935104,441.5880433163923
17.8,95.5,2.8,21.4,1.39,11.01471987256034,1.252762968495368,496.78969393496885
13.5,94.2,3.8,16.31,2.48,11.0097207283356,0.7884573603642702,432.781700167648
20.8,93.0,6.6,15.3,3.14,10.77182676847709,0.4054651081081644,377.88887255382366
10.7,96.6,2.9,24.75,0.3,11.353460690319201,0.0,512.0546845796844
19.0,86.9,8.1,11.66,2.47,10.855106817463577,0.09531017980432487,368.9173349139343
14.2,95.0,3.5,18.9,1.17,10.997204545438429,0.09531017980432487,424.38190347845887
